id,checkid,checkingpeer,p2pcheckstsatus,time
3290,1645,gehnbrig,Failure,13:01
3291,1646,cathleeb,Start,06:54
3292,1646,cathleeb,Failure,09:09
3293,1647,tinydook,Start,07:55
3294,1647,tinydook,Failure,19:31
3295,1648,nicolsha,Start,22:22
3296,1648,nicolsha,Success,12:24
3297,1649,professo,Start,22:46
3298,1649,professo,Failure,09:09
3299,1650,demogorg,Start,22:58
3300,1650,demogorg,Success,22:58
3301,1651,kleinerb,Start,17:29
3302,1651,kleinerb,Failure,01:37
3303,1652,rammuseu,Start,19:19
3304,1652,rammuseu,Failure,17:05
3305,1653,ajhin,Start,09:09
3306,1653,ajhin,Success,00:12
3307,1654,nicolsha,Start,16:40
3308,1654,nicolsha,Failure,01:13
3309,1655,capacitg,Start,15:51
3310,1655,capacitg,Failure,23:35
3311,1656,rammuseu,Start,20:44
3312,1656,rammuseu,Failure,05:29
3313,1657,roggosce,Start,17:29
3314,1657,roggosce,Success,00:24
3315,1658,vluann,Start,09:09
3316,1658,vluann,Success,08:56
3317,1659,limesbra,Start,14:14
3318,1659,limesbra,Success,02:50
3319,1660,myeshask,Start,02:02
3320,1660,myeshask,Failure,13:37
3321,1661,dhammer,Start,01:49
3322,1661,dhammer,Failure,05:53
3323,1662,sfleta,Start,19:31
3324,1662,sfleta,Success,04:40
3325,1663,ninetale,Start,05:53
3326,1663,ninetale,Failure,07:19
3327,1664,erikursi,Start,00:48
3328,1664,erikursi,Success,08:56
3329,1665,ccassell,Start,03:03
3330,1665,ccassell,Success,18:54
3331,1666,cshara,Start,01:01
3332,1666,cshara,Failure,17:05
3333,1667,mordnore,Start,21:09
3334,1667,mordnore,Failure,15:39
3335,1668,cmerlyn,Start,05:05
3336,1668,cmerlyn,Success,14:26
3337,1669,biodiese,Start,05:29
3338,1669,biodiese,Failure,15:27
3339,1670,chmackey,Start,09:09
3340,1670,chmackey,Failure,09:57
3341,1671,xerminia,Start,07:31
3342,1671,xerminia,Failure,09:33
3343,1672,yolandep,Start,10:10
3344,1672,yolandep,Failure,11:59
3345,1673,dtammie,Start,06:30
3346,1673,dtammie,Success,22:58
3347,1674,e.bogachuk,Start,11:35
3348,1674,e.bogachuk,Failure,19:55
3349,1675,hhullen,Start,10:34
3350,1675,hhullen,Success,12:00
3351,1676,boostery,Start,14:02
3352,1676,boostery,Failure,21:45
3353,1677,jenegabr,Start,19:07
3354,1677,jenegabr,Failure,21:21
3355,1678,rosmertt,Start,03:27
3356,1678,rosmertt,Failure,23:23
3357,1679,willylyd,Start,13:25
3358,1679,willylyd,Failure,11:11
3359,1680,iseadra,Start,06:06
3360,1680,iseadra,Success,22:34
3361,1681,ninetale,Start,20:44
3362,1681,ninetale,Failure,15:03
3363,1682,alishian,Start,05:05
3364,1682,alishian,Success,18:18
3365,1683,noisejaq,Start,05:41
3366,1683,noisejaq,Success,16:40
3367,1684,lavender,Start,09:45
3368,1684,lavender,Failure,11:59
3369,1685,hjerilyn,Start,07:31
3370,1685,hjerilyn,Success,12:48
3371,1686,bullroag,Start,00:48
3372,1686,bullroag,Success,04:16
3373,1687,elidacon,Start,13:25
3374,1687,elidacon,Failure,07:31
3375,1688,barbiesa,Start,22:34
3376,1688,barbiesa,Failure,11:47
3377,1689,clemenha,Start,05:41
3378,1689,clemenha,Failure,01:13
3379,1690,lavender,Start,21:33
3380,1690,lavender,Success,06:54
3381,1691,rosieamb,Start,13:13
3382,1691,rosieamb,Success,20:08
3383,1692,joellebo,Start,04:04
3384,1692,joellebo,Success,10:58
3385,1693,joellebo,Start,11:47
3386,1693,joellebo,Failure,11:11
3387,1694,sunnitif,Start,22:22
3388,1694,sunnitif,Success,18:06
3389,1695,aethando,Start,14:02
3390,1695,aethando,Failure,03:15
3391,1696,werewolf,Start,00:24
3392,1696,werewolf,Success,04:28
3393,1697,macygabr,Start,22:22
3394,1697,macygabr,Success,10:58
3395,1698,waresher,Start,21:33
3396,1698,waresher,Failure,13:37
3397,1699,barbiesa,Start,20:08
3398,1699,barbiesa,Success,08:08
3399,1700,sommerha,Start,09:57
3400,1700,sommerha,Failure,23:59
3401,1701,mistidem,Start,03:03
3402,1701,mistidem,Failure,03:03
3403,1702,bernarda,Start,14:02
3404,1702,bernarda,Failure,09:33
3405,1703,kerenhor,Start,10:10
3406,1703,kerenhor,Success,06:30
3407,1704,nerissas,Start,10:34
3408,1704,nerissas,Failure,11:23
3409,1705,dtammie,Start,17:05
3410,1705,dtammie,Failure,03:15
3411,1706,telvina,Start,05:53
3412,1706,telvina,Failure,19:19
3413,1707,maliqdot,Start,07:55
3414,1707,maliqdot,Success,10:46
3415,1708,hanalesh,Start,07:43
3416,1708,hanalesh,Failure,07:19
3417,1709,gehnbrig,Start,23:11
3418,1709,gehnbrig,Failure,23:59
3419,1710,cornmeal,Start,13:49
3420,1710,cornmeal,Failure,03:27
3421,1711,janissca,Start,08:44
3422,1711,janissca,Success,04:28
3423,1712,gwakame,Start,07:31
3424,1712,gwakame,Failure,01:37
3425,1713,waltlate,Start,10:46
3426,1713,waltlate,Failure,13:49
3427,1714,shenmurr,Start,16:52
3428,1714,shenmurr,Failure,23:47
3429,1715,judgejal,Start,15:15
3430,1715,judgejal,Failure,19:55
3431,1716,rorgeelp,Start,04:28
3432,1716,rorgeelp,Failure,07:19
3433,1717,toffeeco,Start,02:14
3434,1717,toffeeco,Success,08:20
3435,1718,vanesabo,Start,07:55
3436,1718,vanesabo,Failure,15:51
3437,1719,paulinac,Start,17:53
3438,1719,paulinac,Success,16:16
3439,1720,kwukong,Start,09:33
3440,1720,kwukong,Success,08:44
3441,1721,stewartn,Start,18:42
3442,1721,stewartn,Success,02:02
3443,1722,willylyd,Start,05:29
3444,1722,willylyd,Failure,01:49
3445,1723,werewolf,Start,18:42
3446,1723,werewolf,Success,16:52
3447,1724,yolandep,Start,03:27
3448,1724,yolandep,Failure,01:13
3449,1725,llynelle,Start,16:28
3450,1725,llynelle,Success,22:22
3451,1726,hhullen,Start,07:31
3452,1726,hhullen,Failure,07:19
3453,1727,mordnore,Start,06:06
3454,1727,mordnore,Success,02:50
3455,1728,golemtam,Start,00:36
3456,1728,golemtam,Failure,23:47
3457,1729,karnaksp,Start,01:37
3458,1729,karnaksp,Failure,07:43
3459,1730,estaedmo,Start,01:01
3460,1730,estaedmo,Failure,11:35
3461,1731,stewartn,Start,06:54
3462,1731,stewartn,Failure,21:09
3463,1732,ghumbleb,Start,02:50
3464,1732,ghumbleb,Success,22:46
3465,1733,werewolf,Start,05:17
3466,1733,werewolf,Failure,01:01
3467,1734,salenasa,Start,21:45
3468,1734,salenasa,Failure,23:59
3469,1735,gtoraq,Start,07:19
3470,1735,gtoraq,Success,06:18
3471,1736,aedie,Start,18:18
3472,1736,aedie,Success,00:00
3473,1737,corrietr,Start,20:44
3474,1737,corrietr,Success,22:58
3475,1738,slyviada,Start,16:28
3476,1738,slyviada,Success,16:04
3477,1739,symeonro,Start,21:57
3478,1739,symeonro,Failure,15:39
3479,1740,sgoldenf,Start,12:24
3480,1740,sgoldenf,Failure,09:45
3481,1741,rosmertt,Start,20:44
3482,1741,rosmertt,Success,10:10
3483,1742,Yuriy,Start,21:21
3484,1742,Yuriy,Success,04:28
3485,1743,chmackey,Start,19:31
3486,1743,chmackey,Failure,05:05
3487,1744,ebonicra,Start,18:30
3488,1744,ebonicra,Success,14:38
3489,1745,cshara,Start,18:06
3490,1745,cshara,Success,14:26
3491,1746,kaleighh,Start,03:03
3492,1746,kaleighh,Success,04:16
3493,1747,llynelle,Start,10:46
3494,1747,llynelle,Success,16:52
3495,1748,bernarda,Start,11:23
3496,1748,bernarda,Success,20:32
3497,1749,hsensor,Start,09:57
3498,1749,hsensor,Failure,23:47
3499,1750,biodiese,Start,09:45
3500,1750,biodiese,Success,00:00
3501,1751,necromat,Start,22:10
3502,1751,necromat,Failure,17:53
3503,1752,kaleighh,Start,09:57
3504,1752,kaleighh,Success,10:22
3505,1753,tinydook,Start,03:27
3506,1753,tinydook,Success,20:56
3507,1754,tprobius,Start,21:33
3508,1754,tprobius,Failure,17:53
3509,1755,mavissig,Start,03:27
3510,1755,mavissig,Failure,07:55
3511,1756,yukojuan,Start,22:58
3512,1756,yukojuan,Success,20:44
3513,1757,mordnore,Start,21:09
3514,1757,mordnore,Success,10:10
3515,1758,hamishcl,Start,23:59
3516,1758,hamishcl,Success,14:26
3517,1759,hamishcl,Start,23:35
3518,1759,hamishcl,Failure,19:19
3519,1760,rdontos,Start,03:39
3520,1760,rdontos,Failure,13:37
3521,1761,ronniele,Start,09:21
3522,1761,ronniele,Success,06:18
3523,1762,iseadra,Start,20:32
3524,1762,iseadra,Failure,11:35
3525,1763,marquita,Start,05:53
3526,1763,marquita,Success,08:32
3527,1764,bromanyt,Start,21:45
3528,1764,bromanyt,Failure,17:17
3529,1765,cmerlyn,Start,17:29
3530,1765,cmerlyn,Failure,13:13
3531,1766,aemmafre,Start,12:24
3532,1766,aemmafre,Success,20:08
3533,1767,ajhin,Start,07:19
3534,1767,ajhin,Failure,13:25
3535,1768,loarlyne,Start,18:18
3536,1768,loarlyne,Failure,13:49
3537,1769,myrlemal,Start,00:12
3538,1769,myrlemal,Success,06:06
3539,1770,stewartn,Start,21:45
3540,1770,stewartn,Failure,15:27
3541,1771,tandrasc,Start,17:53
3542,1771,tandrasc,Success,14:02
3543,1772,ghumbleb,Start,22:10
3544,1772,ghumbleb,Failure,23:11
3545,1773,luanarau,Start,17:17
3546,1773,luanarau,Failure,15:27
3547,1774,roggosce,Start,20:20
3548,1774,roggosce,Failure,13:37
3549,1775,waltlate,Start,15:27
3550,1775,waltlate,Failure,19:55
3551,1776,loriross,Start,10:10
3552,1776,loriross,Failure,19:31
3553,1777,sgoldenf,Start,14:38
3554,1777,sgoldenf,Success,14:02
3555,1778,boostery,Start,20:08
3556,1778,boostery,Failure,15:51
3557,1779,audiecle,Start,21:09
3558,1779,audiecle,Success,12:24
3559,1780,daniawen,Start,20:44
3560,1780,daniawen,Failure,07:55
3561,1781,necromat,Start,04:16
3562,1781,necromat,Success,00:12
3563,1782,julietah,Start,15:39
3564,1782,julietah,Failure,01:37
3565,1783,sperses,Start,19:55
3566,1783,sperses,Failure,03:03
3567,1784,sensordo,Start,09:33
3568,1784,sensordo,Success,18:54
3569,1785,mavissig,Start,14:50
3570,1785,mavissig,Success,18:54
3571,1786,daniawen,Start,00:12
3572,1786,daniawen,Success,08:32
3573,1787,starfigd,Start,15:39
3574,1787,starfigd,Failure,23:47
3575,1788,yolandep,Start,04:52
3576,1788,yolandep,Failure,21:57
3577,1789,xerminia,Start,15:27
3578,1789,xerminia,Failure,01:37
3579,1790,horacene,Start,20:44
3580,1790,horacene,Failure,09:33
3581,1791,hhullen,Start,22:34
3582,1791,hhullen,Failure,23:59
3583,1792,ghumbleb,Start,13:25
3584,1792,ghumbleb,Success,20:56
3585,1793,sandorme,Start,03:15
3586,1793,sandorme,Success,22:10
3587,1794,mordnore,Start,00:00
3588,1794,mordnore,Success,00:36
3589,1795,englishk,Start,12:12
3590,1795,englishk,Failure,03:27
3591,1796,fbillye,Start,18:54
3592,1796,fbillye,Success,16:40
3593,1797,kleinerb,Start,18:54
3594,1797,kleinerb,Failure,11:35
3595,1798,sharkjos,Start,15:39
3596,1798,sharkjos,Failure,21:09
3597,1799,boostery,Start,23:23
3598,1799,boostery,Success,00:12
3599,1800,rebeccaa,Start,01:01
3600,1800,rebeccaa,Success,02:38
3601,1801,alishian,Start,07:19
3602,1801,alishian,Success,12:36
3603,1802,cnathali,Start,12:24
3604,1802,cnathali,Failure,05:05
3605,1803,abbeyrus,Start,14:50
3606,1803,abbeyrus,Success,12:12
3607,1804,cgreenbe,Start,21:21
3608,1804,cgreenbe,Success,04:16
3609,1805,vanesabo,Start,00:12
3610,1805,vanesabo,Success,10:58
3611,1806,cgreenbe,Start,04:40
3612,1806,cgreenbe,Success,06:18
3613,1807,mitzifra,Start,19:43
3614,1807,mitzifra,Failure,01:25
3615,1808,hcarolee,Start,21:33
3616,1808,hcarolee,Success,04:16
3617,1809,morrigen,Start,11:47
3618,1809,morrigen,Success,20:44
3619,1810,mistidem,Start,03:15
3620,1810,mistidem,Success,16:16
3621,1811,dhammer,Start,15:39
3622,1811,dhammer,Success,04:28
3623,1812,sharkjos,Start,18:18
3624,1812,sharkjos,Success,08:44
3625,1813,princess,Start,00:00
3626,1813,princess,Success,04:04
3627,1814,slyviada,Start,23:59
3628,1814,slyviada,Failure,09:09
3629,1815,chmackey,Start,17:53
3630,1815,chmackey,Success,06:54
3631,1816,irobin,Start,16:28
3632,1816,irobin,Success,10:34
3633,1817,ebonicra,Start,00:24
3634,1817,ebonicra,Failure,19:55
3635,1818,capacitg,Start,15:51
3636,1818,capacitg,Failure,01:13
3637,1819,daniawen,Start,01:37
3638,1819,daniawen,Success,20:32
3639,1820,rleonard,Start,01:13
3640,1820,rleonard,Success,22:46
3641,1821,tinydook,Start,21:21
3642,1821,tinydook,Failure,05:05
3643,1822,luanarau,Start,05:05
3644,1822,luanarau,Failure,21:33
3645,1823,hlowell,Start,07:55
3646,1823,hlowell,Success,18:18
3647,1824,akiraren,Start,22:10
3648,1824,akiraren,Success,00:36
3649,1825,dogletho,Start,16:40
3650,1825,dogletho,Failure,13:25
3651,1826,nwiley,Start,06:18
3652,1826,nwiley,Failure,15:51
3653,1827,cshara,Start,09:45
3654,1827,cshara,Success,20:32
3655,1828,bullroag,Start,02:02
3656,1828,bullroag,Success,04:16
3657,1829,roscoesu,Start,04:52
3658,1829,roscoesu,Failure,07:31
3659,1830,morrigen,Start,04:52
3660,1830,morrigen,Success,02:02
3661,1831,professo,Start,07:07
3662,1831,professo,Failure,05:17
3663,1832,carllane,Start,10:46
3664,1832,carllane,Failure,19:55
3665,1833,withersh,Start,06:54
3666,1833,withersh,Failure,07:55
3667,1834,hsensor,Start,14:38
3668,1834,hsensor,Failure,01:25
3669,1835,starfigd,Start,20:56
3670,1835,starfigd,Success,00:12
3671,1836,vanesabo,Start,18:54
3672,1836,vanesabo,Success,04:16
3673,1837,judgejal,Start,01:49
3674,1837,judgejal,Failure,01:13
3675,1838,ajhin,Start,13:49
3676,1838,ajhin,Failure,21:45
3677,1839,coriande,Start,21:21
3678,1839,coriande,Success,18:42
3679,1840,roggosce,Start,04:28
3680,1840,roggosce,Success,18:42
3681,1841,adinamar,Start,17:53
3682,1841,adinamar,Failure,11:23
3683,1842,symeonro,Start,18:30
3684,1842,symeonro,Failure,21:57
3685,1843,luanarau,Start,13:37
3686,1843,luanarau,Failure,11:47
3687,1844,adough,Start,21:45
3688,1844,adough,Failure,09:21
3689,1845,wallacei,Start,00:36
3690,1845,wallacei,Failure,19:07
3691,1846,cmerlyn,Start,15:15
3692,1846,cmerlyn,Failure,05:53
3693,1847,kathyhan,Start,04:28
3694,1847,kathyhan,Failure,03:27
3695,1848,drahardo,Start,18:18
3696,1848,drahardo,Failure,03:03
3697,1849,irobin,Start,01:01
3698,1849,irobin,Success,04:04
3699,1850,roddstat,Start,01:37
3700,1850,roddstat,Failure,03:15
3701,1851,knikia,Start,13:01
3702,1851,knikia,Failure,15:15
3703,1852,scrimgeo,Start,20:32
3704,1852,scrimgeo,Failure,21:21
3705,1853,genesiss,Start,05:17
3706,1853,genesiss,Failure,05:29
3707,1854,sherlynt,Start,08:56
3708,1854,sherlynt,Success,04:40
3709,1855,butterps,Start,10:22
3710,1855,butterps,Success,12:12
3711,1856,yolandep,Start,03:27
3712,1856,yolandep,Success,20:20
3713,1857,xerminia,Start,01:49
3714,1857,xerminia,Success,06:42
3715,1858,rleonard,Start,03:39
3716,1858,rleonard,Failure,11:35
3717,1859,sherlynt,Start,12:48
3718,1859,sherlynt,Failure,15:27
3719,1860,shenmurr,Start,00:12
3720,1860,shenmurr,Success,18:54
3721,1861,nicolsha,Start,10:46
3722,1861,nicolsha,Failure,21:57
3723,1862,jdoomfis,Start,18:18
3724,1862,jdoomfis,Failure,09:21
3725,1863,barnards,Start,07:43
3726,1863,barnards,Failure,17:05
3727,1864,paulinac,Start,05:05
3728,1864,paulinac,Failure,07:43
3729,1865,dhammer,Start,09:33
3730,1865,dhammer,Success,18:42
3731,1866,seftonca,Start,15:39
3732,1866,seftonca,Success,08:32
3733,1867,Yuriy,Start,00:00
3734,1867,Yuriy,Failure,11:35
3735,1868,rosmertt,Start,07:55
3736,1868,rosmertt,Failure,23:23
3737,1869,rinkodaw,Start,16:52
3738,1869,rinkodaw,Success,06:54
3739,1870,perrosde,Start,00:36
3740,1870,perrosde,Failure,09:09
3741,1871,hatchesn,Start,09:45
3742,1871,hatchesn,Failure,13:49
3743,1872,mistidem,Start,16:04
3744,1872,mistidem,Failure,19:07
3745,1873,cgreenbe,Start,16:04
3746,1873,cgreenbe,Success,00:24
3747,1874,gtoraq,Start,19:19
3748,1874,gtoraq,Success,14:26
3749,1875,alienchu,Start,07:31
3750,1875,alienchu,Failure,11:11
3751,1876,tinydook,Start,14:14
3752,1876,tinydook,Failure,11:59
3753,1877,hatchesn,Start,07:07
3754,1877,hatchesn,Failure,09:45
3755,1878,maliqdot,Start,20:56
3756,1878,maliqdot,Success,14:02
3757,1879,angelena,Start,07:43
3758,1879,angelena,Success,20:56
3759,1880,waresher,Start,16:52
3760,1880,waresher,Success,18:18
3761,1881,barbiesa,Start,13:13
3762,1881,barbiesa,Success,06:06
3763,1882,harrietb,Start,09:21
3764,1882,harrietb,Success,10:46
3765,1883,rammuseu,Start,11:23
3766,1883,rammuseu,Failure,19:31
3767,1884,iseadra,Start,17:41
3768,1884,iseadra,Success,02:26
3769,1885,waresher,Start,00:24
3770,1885,waresher,Success,14:38
3771,1886,horacene,Start,17:53
3772,1886,horacene,Success,22:46
3773,1887,wmicha,Start,22:10
3774,1887,wmicha,Success,20:08
3775,1888,knikia,Start,23:35
3776,1888,knikia,Failure,07:19
3777,1889,myrlemal,Start,16:16
3778,1889,myrlemal,Failure,21:33
3779,1890,jorgedom,Start,18:18
3780,1890,jorgedom,Failure,09:21
3781,1891,millykir,Start,10:46
3782,1891,millykir,Failure,09:57
3783,1892,kcresswe,Start,07:43
3784,1892,kcresswe,Success,22:34
3785,1893,loarlyne,Start,08:20
3786,1893,loarlyne,Success,20:20
3787,1894,horacene,Start,18:30
3788,1894,horacene,Failure,05:05
3789,1895,salenasa,Start,16:28
3790,1895,salenasa,Failure,03:27
3791,1896,princess,Start,23:35
3792,1896,princess,Failure,21:45
3793,1897,tblitzcr,Start,11:47
3794,1897,tblitzcr,Success,22:22
3795,1898,daniawen,Start,11:11
3796,1898,daniawen,Success,00:00
3797,1899,jdoomfis,Start,17:29
3798,1899,jdoomfis,Success,20:08
3799,1900,hatchesn,Start,09:21
3800,1900,hatchesn,Failure,11:11
3801,1901,kleinerb,Start,00:36
3802,1901,kleinerb,Failure,15:03
3803,1902,binnshag,Start,15:15
3804,1902,binnshag,Success,14:26
3805,1903,hcarolee,Start,12:12
3806,1903,hcarolee,Success,14:02
3807,1904,barbiesa,Start,22:58
3808,1904,barbiesa,Success,00:12
3809,1905,guitarso,Start,07:19
3810,1905,guitarso,Failure,07:31
3811,1906,toffeeco,Start,05:41
3812,1906,toffeeco,Success,02:14
3813,1907,cnathali,Start,15:27
3814,1907,cnathali,Success,20:08
3815,1908,coriande,Start,19:07
3816,1908,coriande,Failure,03:39
3817,1909,galionme,Start,01:37
3818,1909,galionme,Failure,21:21
3819,1910,nwiley,Start,11:11
3820,1910,nwiley,Success,10:58
3821,1911,jivern,Start,22:22
3822,1911,jivern,Success,00:24
3823,1912,clemenha,Start,16:52
3824,1912,clemenha,Success,14:50
3825,1913,mbulwer,Start,23:35
3826,1913,mbulwer,Failure,15:39
3827,1914,Andrew,Start,00:00
3828,1914,Andrew,Success,18:06
3829,1915,bullroag,Start,18:30
3830,1915,bullroag,Failure,15:51
3831,1916,jdoomfis,Start,22:34
3832,1916,jdoomfis,Success,08:08
3833,1917,mavissig,Start,00:36
3834,1917,mavissig,Failure,11:47
3835,1918,wmicha,Start,00:36
3836,1918,wmicha,Success,02:26
3837,1919,sshunpik,Start,22:34
3838,1919,sshunpik,Failure,19:07
3839,1920,maryanna,Start,02:50
3840,1920,maryanna,Failure,11:23
3841,1921,roggosce,Start,08:56
3842,1921,roggosce,Success,16:28
3843,1922,accordij,Start,16:16
3844,1922,accordij,Success,12:48
3845,1923,iseadra,Start,22:46
3846,1923,iseadra,Success,04:16
3847,1924,jenegabr,Start,10:46
3848,1924,jenegabr,Success,06:30
3849,1925,corrietr,Start,23:47
3850,1925,corrietr,Failure,03:51
3851,1926,duurmopa,Start,13:25
3852,1926,duurmopa,Success,18:30
3853,1927,horacene,Start,02:14
3854,1927,horacene,Success,20:44
3855,1928,toffeeco,Start,12:36
3856,1928,toffeeco,Failure,01:13
3857,1929,paulinac,Start,16:40
3858,1929,paulinac,Success,16:52
3859,1930,rosieamb,Start,04:28
3860,1930,rosieamb,Failure,13:13
3861,1931,desirelo,Start,10:46
3862,1931,desirelo,Failure,21:57
3863,1932,erikurfo,Start,14:14
3864,1932,erikurfo,Failure,19:07
3865,1933,vanesabo,Start,21:21
3866,1933,vanesabo,Failure,19:31
3867,1934,slyviada,Start,20:56
3868,1934,slyviada,Success,06:30
3869,1935,irobin,Start,10:34
3870,1935,irobin,Failure,15:39
3871,1936,waresher,Start,11:23
3872,1936,waresher,Failure,05:05
3873,1937,sperses,Start,14:38
3874,1937,sperses,Success,20:08
3875,1938,hlowell,Start,20:08
3876,1938,hlowell,Failure,01:37
3877,1939,kwukong,Start,21:45
3878,1939,kwukong,Success,04:04
3879,1940,minellaa,Start,16:16
3880,1940,minellaa,Success,02:50
3881,1941,englishk,Start,09:21
3882,1941,englishk,Success,06:30
3883,1942,withersh,Start,21:57
3884,1942,withersh,Failure,13:49
3885,1943,mbulwer,Start,15:15
3886,1943,mbulwer,Success,20:56
3887,1944,angelena,Start,10:10
3888,1944,angelena,Failure,21:57
3889,1945,vanesabo,Start,13:13
3890,1945,vanesabo,Failure,15:27
3891,1946,jorgedom,Start,09:09
3892,1946,jorgedom,Success,02:02
3893,1947,duurmopa,Start,13:13
3894,1947,duurmopa,Success,14:26
3895,1948,jenegabr,Start,03:39
3896,1948,jenegabr,Failure,23:23
3897,1949,androwba,Start,23:11
3898,1949,androwba,Success,10:58
3899,1950,professo,Start,05:05
3900,1950,professo,Failure,15:27
3901,1951,estaedmo,Start,10:46
3902,1951,estaedmo,Failure,01:13
3903,1952,perrosde,Start,07:43
3904,1952,perrosde,Failure,11:35
3905,1953,meghanki,Start,05:17
3906,1953,meghanki,Failure,09:57
3907,1954,aemmafre,Start,20:08
3908,1954,aemmafre,Failure,19:31
3909,1955,mistidem,Start,16:16
3910,1955,mistidem,Success,16:16
3911,1956,guitarso,Start,02:14
3912,1956,guitarso,Failure,19:55
3913,1957,chmackey,Start,01:25
3914,1957,chmackey,Failure,09:57
3915,1958,wallacei,Start,23:59
3916,1958,wallacei,Success,18:42
3917,1959,duurmopa,Start,18:54
3918,1959,duurmopa,Success,16:40
3919,1960,fbillye,Start,16:40
3920,1960,fbillye,Failure,15:27
3921,1961,Yuriy,Start,12:00
3922,1961,Yuriy,Success,02:14
3923,1962,gylbertk,Start,07:55
3924,1962,gylbertk,Failure,17:29
3925,1963,cathleeb,Start,00:48
3926,1963,cathleeb,Failure,15:15
3927,1964,joellebo,Start,02:50
3928,1964,joellebo,Success,16:52
3929,1965,perrosde,Start,05:29
3930,1965,perrosde,Failure,03:39
3931,1966,alienchu,Start,15:15
3932,1966,alienchu,Failure,03:15
3933,1967,vluann,Start,21:21
3934,1967,vluann,Success,02:26
3935,1968,ajhin,Start,19:31
3936,1968,ajhin,Failure,07:19
3937,1969,bromanyt,Start,08:56
3938,1969,bromanyt,Success,16:28
3939,1970,shenmurr,Start,02:14
3940,1970,shenmurr,Failure,05:29
3941,1971,mavissig,Start,12:12
3942,1971,mavissig,Success,06:18
3943,1972,clemenha,Start,15:27
3944,1972,clemenha,Failure,23:47
3945,1973,coratant,Start,16:52
3946,1973,coratant,Success,22:10
3947,1974,stewartn,Start,20:08
3948,1974,stewartn,Success,06:42
3949,1975,dotharer,Start,08:56
3950,1975,dotharer,Failure,09:09
3951,1976,Bulenko,Start,04:04
3952,1976,Bulenko,Failure,19:19
3953,1977,carllane,Start,18:30
3954,1977,carllane,Failure,21:21
3955,1978,seftonca,Start,19:07
3956,1978,seftonca,Failure,13:49
3957,1979,tinydook,Start,13:25
3958,1979,tinydook,Failure,11:35
3959,1980,papawfen,Start,09:57
3960,1980,papawfen,Success,14:50
3961,1981,wallacei,Start,15:15
3962,1981,wallacei,Failure,03:15
3963,1982,hsensor,Start,19:07
3964,1982,hsensor,Failure,23:35
3965,1983,vluann,Start,16:52
3966,1983,vluann,Success,00:24
3967,1984,jesusalo,Start,17:29
3968,1984,jesusalo,Failure,21:33
3969,1985,roscoesu,Start,20:32
3970,1985,roscoesu,Success,02:02
3971,1986,englishk,Start,15:03
3972,1986,englishk,Success,20:08
3973,1987,sandorme,Start,08:56
3974,1987,sandorme,Failure,15:39
3975,1988,jorgedom,Start,15:03
3976,1988,jorgedom,Success,22:34
3977,1989,roscoesu,Start,20:32
3978,1989,roscoesu,Failure,07:43
3979,1990,gtoraq,Start,05:53
3980,1990,gtoraq,Failure,01:13
3981,1991,kathyhan,Start,20:56
3982,1991,kathyhan,Failure,19:07
3983,1992,supertha,Start,22:34
3984,1992,supertha,Success,00:48
3985,1993,dotharer,Start,19:19
3986,1993,dotharer,Failure,03:15
3987,1994,julietah,Start,19:43
3988,1994,julietah,Success,14:02
3989,1995,marquita,Start,03:27
3990,1995,marquita,Failure,21:57
3991,1996,sandorme,Start,03:03
3992,1996,sandorme,Failure,09:21
3993,1997,sgoldenf,Start,20:44
3994,1997,sgoldenf,Failure,23:11
3995,1998,shenmurr,Start,17:05
3996,1998,shenmurr,Failure,11:23
3997,1999,mavissig,Start,06:30
3998,1999,mavissig,Failure,23:23
3999,2000,Bulenko,Start,14:02
4000,2000,Bulenko,Failure,09:33
4001,2001,mauricio,Start,00:24
4002,2001,mauricio,Failure,21:33
4003,2002,marquita,Start,08:44
4004,2002,marquita,Success,00:00
4005,2003,androwba,Start,09:21
4006,2003,androwba,Failure,05:29
4007,2004,adough,Start,03:15
4008,2004,adough,Failure,17:53
4009,2005,genesiss,Start,11:35
4010,2005,genesiss,Success,08:44
4011,2006,hsensor,Start,08:44
4012,2006,hsensor,Failure,17:05
4013,2007,takemiym,Start,20:56
4014,2007,takemiym,Failure,17:41
4015,2008,llynelle,Start,09:45
4016,2008,llynelle,Success,04:40
4017,2009,bainesme,Start,04:04
4018,2009,bainesme,Success,02:50
4019,2010,jivern,Start,12:36
4020,2010,jivern,Failure,15:15
4021,2011,withersh,Start,05:29
4022,2011,withersh,Failure,05:05
4023,2012,synthiat,Start,12:00
4024,2012,synthiat,Failure,07:31
4025,2013,hatchesn,Start,18:06
4026,2013,hatchesn,Failure,19:55
4027,2014,princess,Start,02:26
4028,2014,princess,Success,22:58
4029,2015,maryanna,Start,16:16
4030,2015,maryanna,Failure,03:03
4031,2016,tinydook,Start,23:47
4032,2016,tinydook,Success,22:46
4033,2017,abbeyrus,Start,19:55
4034,2017,abbeyrus,Success,04:04
4035,2018,macygabr,Start,10:46
4036,2018,macygabr,Failure,13:13
4037,2019,jenegabr,Start,12:12
4038,2019,jenegabr,Failure,13:01
4039,2020,gylbertk,Start,23:35
4040,2020,gylbertk,Success,10:46
4041,2021,malenaro,Start,21:45
4042,2021,malenaro,Failure,17:41
4043,2022,loriross,Start,08:08
4044,2022,loriross,Failure,05:41
4045,2023,littleca,Start,03:03
