id,peer,task,checkdate
2049,hhullen,C2_SimpleBashUtils,2022-7-14
2050,hhullen,C3_s21_string+,2022-10-7
2051,hhullen,C4_s21_math,2022-1-21
2052,hhullen,C5_s21_decimal,2021-2-1
2053,hhullen,C6_SmartCalc_v1.0,2022-3-28
2054,hhullen,C7_s21_matrix,2022-6-22
2055,hhullen,C8_3DVieweer_v1.0,2022-1-3
2056,hhullen,DO1_Linux,2021-8-9
2057,hhullen,DO2_LinuxNetwork,2021-3-16
2058,hhullen,DO3_LinuxMonitoring_v1.0,2022-11-11
2059,hhullen,DO5_SimpleDocker,2021-8-13
2060,hhullen,DO4_LinuxMonitoring_v2.0,2022-10-13
2061,hhullen,DO6_CICD,2021-12-14
2062,hhullen,CPP1_s21_matrix+,2022-4-8
2063,hhullen,CPP3_SmartCalc_v2.0,2022-6-28
2064,hhullen,CPP2_s21_containers,2021-8-10
2065,hhullen,CPP4_3DVieweer_v2.0,2022-6-17
2066,hhullen,CPP7_MLP,2022-5-12
2067,hhullen,CPP5_3DVieweer_v2.1,2022-1-10
2068,hhullen,CPP6__3DVieweer_v2.2,2021-12-19
2069,hhullen,CPP8_PhotoLab_v1.0,2022-1-5
2070,hhullen,CPP9_MonitoringSystem,2021-6-24
2071,hhullen,A1_Maze,2021-4-22
2072,hhullen,A2_SimpleNavigator_v1.0,2021-5-19
2073,hhullen,A3_Parallels,2021-8-4
2074,hhullen,A4_Crypto,2021-12-26
2075,hhullen,A5_Transactions,2021-3-17
2076,hhullen,A6_s21_memory,2021-8-25
2077,hhullen,A7_AlgorithmicTrading,2021-12-21
2078,hhullen,A8_DNA_Analyzer,2021-4-20
2079,hhullen,SQL2_Info21_v1.0,2022-6-16
2080,hhullen,SQL3_RetailAnalitycs_v1.0,2021-6-26
2081,waresher,C2_SimpleBashUtils,2021-1-13
2082,waresher,C3_s21_string+,2022-11-22
2083,waresher,C4_s21_math,2022-7-12
2084,waresher,C5_s21_decimal,2022-7-8
2085,waresher,C6_SmartCalc_v1.0,2022-3-5
2086,waresher,C7_s21_matrix,2022-10-23
2087,waresher,C8_3DVieweer_v1.0,2022-1-2
2088,waresher,DO1_Linux,2022-1-11
2089,waresher,DO2_LinuxNetwork,2022-5-15
2090,waresher,DO3_LinuxMonitoring_v1.0,2022-3-16
2091,waresher,DO5_SimpleDocker,2021-3-16
2092,waresher,DO4_LinuxMonitoring_v2.0,2021-3-14
2093,waresher,DO6_CICD,2021-12-5
2094,waresher,CPP1_s21_matrix+,2022-1-19
2095,waresher,CPP3_SmartCalc_v2.0,2021-4-4
2096,waresher,CPP2_s21_containers,2021-6-23
2097,waresher,CPP4_3DVieweer_v2.0,2022-11-22
2098,waresher,CPP7_MLP,2021-2-10
2099,waresher,CPP5_3DVieweer_v2.1,2022-11-17
2100,waresher,CPP6__3DVieweer_v2.2,2022-3-1
2101,waresher,CPP8_PhotoLab_v1.0,2022-11-27
2102,waresher,CPP9_MonitoringSystem,2021-4-12
2103,waresher,A1_Maze,2022-8-28
2104,waresher,A2_SimpleNavigator_v1.0,2021-1-2
2105,waresher,A3_Parallels,2022-2-6
2106,waresher,A4_Crypto,2022-4-10
2107,waresher,A5_Transactions,2021-9-27
2108,waresher,A6_s21_memory,2022-9-19
2109,waresher,A7_AlgorithmicTrading,2021-10-13
2110,waresher,A8_DNA_Analyzer,2022-11-5
2111,waresher,SQL2_Info21_v1.0,2021-4-24
2112,waresher,SQL3_RetailAnalitycs_v1.0,2022-3-11
2113,kathyhan,C2_SimpleBashUtils,2021-8-7
2114,kathyhan,C3_s21_string+,2022-3-10
2115,kathyhan,C4_s21_math,2021-8-17
2116,kathyhan,C5_s21_decimal,2021-3-2
2117,kathyhan,C6_SmartCalc_v1.0,2022-2-13
2118,kathyhan,C7_s21_matrix,2021-10-20
2119,kathyhan,C8_3DVieweer_v1.0,2022-1-21
2120,kathyhan,DO1_Linux,2021-5-12
2121,kathyhan,DO2_LinuxNetwork,2021-10-17
2122,kathyhan,DO3_LinuxMonitoring_v1.0,2022-8-3
2123,kathyhan,DO5_SimpleDocker,2021-2-5
2124,kathyhan,DO4_LinuxMonitoring_v2.0,2022-2-5
2125,kathyhan,DO6_CICD,2022-6-3
2126,kathyhan,CPP1_s21_matrix+,2022-3-26
2127,kathyhan,CPP3_SmartCalc_v2.0,2022-3-20
2128,kathyhan,CPP2_s21_containers,2021-8-11
2129,kathyhan,CPP4_3DVieweer_v2.0,2022-4-22
2130,kathyhan,CPP7_MLP,2021-12-17
2131,kathyhan,CPP5_3DVieweer_v2.1,2021-6-14
2132,kathyhan,CPP6__3DVieweer_v2.2,2022-4-7
2133,kathyhan,CPP8_PhotoLab_v1.0,2021-4-17
2134,kathyhan,CPP9_MonitoringSystem,2021-6-6
2135,kathyhan,A1_Maze,2022-2-22
2136,kathyhan,A2_SimpleNavigator_v1.0,2022-5-15
2137,kathyhan,A3_Parallels,2022-4-17
2138,kathyhan,A4_Crypto,2022-11-1
2139,kathyhan,A5_Transactions,2022-7-21
2140,kathyhan,A6_s21_memory,2021-11-13
2141,kathyhan,A7_AlgorithmicTrading,2021-3-28
2142,kathyhan,A8_DNA_Analyzer,2022-8-16
2143,kathyhan,SQL2_Info21_v1.0,2021-5-12
2144,kathyhan,SQL3_RetailAnalitycs_v1.0,2022-7-19
2145,guitarso,C2_SimpleBashUtils,2021-1-4
2146,guitarso,C3_s21_string+,2021-3-27
2147,guitarso,C4_s21_math,2022-1-6
2148,guitarso,C5_s21_decimal,2022-11-13
2149,guitarso,C6_SmartCalc_v1.0,2022-11-19
2150,guitarso,C7_s21_matrix,2021-1-26
2151,guitarso,C8_3DVieweer_v1.0,2021-1-6
2152,guitarso,DO1_Linux,2022-2-15
2153,guitarso,DO2_LinuxNetwork,2022-2-26
2154,guitarso,DO3_LinuxMonitoring_v1.0,2021-7-16
2155,guitarso,DO5_SimpleDocker,2021-7-7
2156,guitarso,DO4_LinuxMonitoring_v2.0,2022-12-11
2157,guitarso,DO6_CICD,2021-8-27
2158,guitarso,CPP1_s21_matrix+,2021-10-13
2159,guitarso,CPP3_SmartCalc_v2.0,2022-1-26
2160,guitarso,CPP2_s21_containers,2022-8-22
2161,guitarso,CPP4_3DVieweer_v2.0,2022-12-8
2162,guitarso,CPP7_MLP,2022-8-15
2163,guitarso,CPP5_3DVieweer_v2.1,2021-5-20
2164,guitarso,CPP6__3DVieweer_v2.2,2022-5-17
2165,guitarso,CPP8_PhotoLab_v1.0,2021-12-8
2166,guitarso,CPP9_MonitoringSystem,2021-8-7
2167,guitarso,A1_Maze,2022-2-2
2168,guitarso,A2_SimpleNavigator_v1.0,2021-8-1
2169,guitarso,A3_Parallels,2022-10-10
2170,guitarso,A4_Crypto,2022-6-27
2171,guitarso,A5_Transactions,2021-10-25
2172,guitarso,A6_s21_memory,2022-9-24
2173,guitarso,A7_AlgorithmicTrading,2021-1-5
2174,guitarso,A8_DNA_Analyzer,2022-3-4
2175,guitarso,SQL2_Info21_v1.0,2022-3-18
2176,guitarso,SQL3_RetailAnalitycs_v1.0,2021-2-26
2177,supertha,C2_SimpleBashUtils,2022-8-28
2178,supertha,C3_s21_string+,2021-9-19
2179,supertha,C4_s21_math,2022-1-1
2180,supertha,C5_s21_decimal,2022-11-10
2181,supertha,C6_SmartCalc_v1.0,2022-10-11
2182,supertha,C7_s21_matrix,2021-4-12
2183,supertha,C8_3DVieweer_v1.0,2022-1-19
2184,supertha,DO1_Linux,2022-1-15
2185,supertha,DO2_LinuxNetwork,2021-11-6
2186,supertha,DO3_LinuxMonitoring_v1.0,2021-10-5
2187,supertha,DO5_SimpleDocker,2022-1-12
2188,supertha,DO4_LinuxMonitoring_v2.0,2021-3-12
2189,supertha,DO6_CICD,2022-3-13
2190,supertha,CPP1_s21_matrix+,2022-12-6
2191,supertha,CPP3_SmartCalc_v2.0,2021-6-15
2192,supertha,CPP2_s21_containers,2022-10-4
2193,supertha,CPP4_3DVieweer_v2.0,2022-6-16
2194,supertha,CPP7_MLP,2022-12-20
2195,supertha,CPP5_3DVieweer_v2.1,2021-9-23
2196,supertha,CPP6__3DVieweer_v2.2,2021-12-16
2197,supertha,CPP8_PhotoLab_v1.0,2021-4-21
2198,supertha,CPP9_MonitoringSystem,2022-11-7
2199,supertha,A1_Maze,2022-10-4
2200,supertha,A2_SimpleNavigator_v1.0,2021-11-12
2201,supertha,A3_Parallels,2021-8-21
2202,supertha,A4_Crypto,2021-5-22
2203,supertha,A5_Transactions,2021-11-20
2204,supertha,A6_s21_memory,2021-4-28
2205,supertha,A7_AlgorithmicTrading,2022-1-13
2206,supertha,A8_DNA_Analyzer,2022-5-8
2207,supertha,SQL2_Info21_v1.0,2021-10-11
2208,supertha,SQL3_RetailAnalitycs_v1.0,2021-10-3
2209,desirelo,C2_SimpleBashUtils,2021-1-11
2210,desirelo,C3_s21_string+,2022-1-23
2211,desirelo,C4_s21_math,2021-9-2
2212,desirelo,C5_s21_decimal,2021-5-5
2213,desirelo,C6_SmartCalc_v1.0,2021-4-3
2214,desirelo,C7_s21_matrix,2021-1-8
2215,desirelo,C8_3DVieweer_v1.0,2022-2-4
2216,desirelo,DO1_Linux,2022-4-19
2217,desirelo,DO2_LinuxNetwork,2022-1-20
2218,desirelo,DO3_LinuxMonitoring_v1.0,2021-8-2
2219,desirelo,DO5_SimpleDocker,2022-2-7
2220,desirelo,DO4_LinuxMonitoring_v2.0,2021-2-8
2221,desirelo,DO6_CICD,2021-5-9
2222,desirelo,CPP1_s21_matrix+,2021-8-5
2223,desirelo,CPP3_SmartCalc_v2.0,2021-9-23
2224,desirelo,CPP2_s21_containers,2022-10-20
2225,desirelo,CPP4_3DVieweer_v2.0,2021-8-18
2226,desirelo,CPP7_MLP,2022-6-8
2227,desirelo,CPP5_3DVieweer_v2.1,2021-3-10
2228,desirelo,CPP6__3DVieweer_v2.2,2021-5-24
2229,desirelo,CPP8_PhotoLab_v1.0,2022-5-7
2230,desirelo,CPP9_MonitoringSystem,2022-7-17
2231,desirelo,A1_Maze,2021-2-20
2232,desirelo,A2_SimpleNavigator_v1.0,2021-1-26
2233,desirelo,A3_Parallels,2022-11-28
2234,desirelo,A4_Crypto,2021-11-19
2235,desirelo,A5_Transactions,2021-7-25
2236,desirelo,A6_s21_memory,2022-8-21
2237,desirelo,A7_AlgorithmicTrading,2021-3-19
2238,desirelo,A8_DNA_Analyzer,2022-1-28
2239,desirelo,SQL2_Info21_v1.0,2021-6-1
2240,desirelo,SQL3_RetailAnalitycs_v1.0,2022-4-15
2241,estaedmo,C2_SimpleBashUtils,2022-3-21
2242,estaedmo,C3_s21_string+,2021-7-28
2243,estaedmo,C4_s21_math,2022-1-5
2244,estaedmo,C5_s21_decimal,2021-4-3
2245,estaedmo,C6_SmartCalc_v1.0,2022-7-20
2246,estaedmo,C7_s21_matrix,2022-6-9
2247,estaedmo,C8_3DVieweer_v1.0,2021-7-20
2248,estaedmo,DO1_Linux,2021-5-25
2249,estaedmo,DO2_LinuxNetwork,2021-1-4
2250,estaedmo,DO3_LinuxMonitoring_v1.0,2022-6-26
2251,estaedmo,DO5_SimpleDocker,2021-10-1
2252,estaedmo,DO4_LinuxMonitoring_v2.0,2021-10-21
2253,estaedmo,DO6_CICD,2021-1-10
2254,estaedmo,CPP1_s21_matrix+,2022-8-3
2255,estaedmo,CPP3_SmartCalc_v2.0,2021-10-21
2256,estaedmo,CPP2_s21_containers,2021-9-19
2257,estaedmo,CPP4_3DVieweer_v2.0,2021-1-14
2258,estaedmo,CPP7_MLP,2021-7-16
2259,estaedmo,CPP5_3DVieweer_v2.1,2021-4-25
2260,estaedmo,CPP6__3DVieweer_v2.2,2022-1-12
2261,estaedmo,CPP8_PhotoLab_v1.0,2021-8-5
2262,estaedmo,CPP9_MonitoringSystem,2021-6-19
2263,estaedmo,A1_Maze,2022-11-11
2264,estaedmo,A2_SimpleNavigator_v1.0,2021-6-24
2265,estaedmo,A3_Parallels,2022-3-23
2266,estaedmo,A4_Crypto,2022-4-10
2267,estaedmo,A5_Transactions,2021-8-21
2268,estaedmo,A6_s21_memory,2022-4-7
2269,estaedmo,A7_AlgorithmicTrading,2022-3-24
2270,estaedmo,A8_DNA_Analyzer,2021-3-6
2271,estaedmo,SQL2_Info21_v1.0,2021-6-26
2272,estaedmo,SQL3_RetailAnalitycs_v1.0,2022-8-5
2273,ccassell,C2_SimpleBashUtils,2021-4-27
2274,ccassell,C3_s21_string+,2021-5-18
2275,ccassell,C4_s21_math,2022-2-5
2276,ccassell,C5_s21_decimal,2021-3-8
2277,ccassell,C6_SmartCalc_v1.0,2021-6-11
2278,ccassell,C7_s21_matrix,2022-3-4
2279,ccassell,C8_3DVieweer_v1.0,2022-4-11
2280,ccassell,DO1_Linux,2021-4-1
2281,ccassell,DO2_LinuxNetwork,2022-10-21
2282,ccassell,DO3_LinuxMonitoring_v1.0,2022-6-13
2283,ccassell,DO5_SimpleDocker,2022-11-8
2284,ccassell,DO4_LinuxMonitoring_v2.0,2021-4-5
2285,ccassell,DO6_CICD,2021-12-14
2286,ccassell,CPP1_s21_matrix+,2022-4-20
2287,ccassell,CPP3_SmartCalc_v2.0,2022-9-11
2288,ccassell,CPP2_s21_containers,2022-10-12
2289,ccassell,CPP4_3DVieweer_v2.0,2021-11-1
2290,ccassell,CPP7_MLP,2022-10-23
2291,ccassell,CPP5_3DVieweer_v2.1,2022-7-11
2292,ccassell,CPP6__3DVieweer_v2.2,2021-2-12
2293,ccassell,CPP8_PhotoLab_v1.0,2022-5-15
2294,ccassell,CPP9_MonitoringSystem,2022-2-7
2295,ccassell,A1_Maze,2021-10-11
2296,ccassell,A2_SimpleNavigator_v1.0,2022-12-15
2297,ccassell,A3_Parallels,2022-5-3
2298,ccassell,A4_Crypto,2022-8-3
2299,ccassell,A5_Transactions,2022-12-21
2300,ccassell,A6_s21_memory,2021-10-24
2301,ccassell,A7_AlgorithmicTrading,2022-9-25
2302,ccassell,A8_DNA_Analyzer,2022-10-14
2303,ccassell,SQL2_Info21_v1.0,2022-6-27
2304,ccassell,SQL3_RetailAnalitycs_v1.0,2021-4-9
2305,pallaaxe,C2_SimpleBashUtils,2021-2-19
2306,pallaaxe,C3_s21_string+,2021-1-11
2307,pallaaxe,C4_s21_math,2022-2-14
2308,pallaaxe,C5_s21_decimal,2022-3-12
2309,pallaaxe,C6_SmartCalc_v1.0,2021-4-20
2310,pallaaxe,C7_s21_matrix,2021-12-24
2311,pallaaxe,C8_3DVieweer_v1.0,2022-12-6
2312,pallaaxe,DO1_Linux,2022-6-18
2313,pallaaxe,DO2_LinuxNetwork,2022-9-23
2314,pallaaxe,DO3_LinuxMonitoring_v1.0,2022-4-17
2315,pallaaxe,DO5_SimpleDocker,2021-9-13
2316,pallaaxe,DO4_LinuxMonitoring_v2.0,2022-1-7
2317,pallaaxe,DO6_CICD,2022-7-16
2318,pallaaxe,CPP1_s21_matrix+,2022-7-16
2319,pallaaxe,CPP3_SmartCalc_v2.0,2022-12-25
2320,pallaaxe,CPP2_s21_containers,2021-6-9
2321,pallaaxe,CPP4_3DVieweer_v2.0,2022-4-9
2322,pallaaxe,CPP7_MLP,2021-3-8
2323,pallaaxe,CPP5_3DVieweer_v2.1,2022-8-12
2324,pallaaxe,CPP6__3DVieweer_v2.2,2021-7-19
2325,pallaaxe,CPP8_PhotoLab_v1.0,2021-3-22
2326,pallaaxe,CPP9_MonitoringSystem,2021-1-19
2327,pallaaxe,A1_Maze,2021-7-12
2328,pallaaxe,A2_SimpleNavigator_v1.0,2021-2-24
2329,pallaaxe,A3_Parallels,2022-6-26
2330,pallaaxe,A4_Crypto,2021-7-22
2331,pallaaxe,A5_Transactions,2022-10-27
2332,pallaaxe,A6_s21_memory,2021-12-10
2333,pallaaxe,A7_AlgorithmicTrading,2022-12-12
2334,pallaaxe,A8_DNA_Analyzer,2021-12-25
2335,pallaaxe,SQL2_Info21_v1.0,2022-6-12
2336,pallaaxe,SQL3_RetailAnalitycs_v1.0,2022-6-28
2337,molliekh,C2_SimpleBashUtils,2021-2-3
2338,molliekh,C3_s21_string+,2022-7-7
2339,molliekh,C4_s21_math,2022-4-27
2340,molliekh,C5_s21_decimal,2021-12-16
2341,molliekh,C6_SmartCalc_v1.0,2022-2-6
2342,molliekh,C7_s21_matrix,2021-8-23
2343,molliekh,C8_3DVieweer_v1.0,2022-5-13
2344,molliekh,DO1_Linux,2021-1-26
2345,molliekh,DO2_LinuxNetwork,2022-2-12
2346,molliekh,DO3_LinuxMonitoring_v1.0,2022-7-8
2347,molliekh,DO5_SimpleDocker,2021-11-13
2348,molliekh,DO4_LinuxMonitoring_v2.0,2021-9-19
2349,molliekh,DO6_CICD,2022-4-2
2350,molliekh,CPP1_s21_matrix+,2022-8-7
2351,molliekh,CPP3_SmartCalc_v2.0,2021-11-11
2352,molliekh,CPP2_s21_containers,2022-8-6
2353,molliekh,CPP4_3DVieweer_v2.0,2022-7-4
2354,molliekh,CPP7_MLP,2021-1-25
2355,molliekh,CPP5_3DVieweer_v2.1,2022-3-18
2356,molliekh,CPP6__3DVieweer_v2.2,2022-1-6
2357,molliekh,CPP8_PhotoLab_v1.0,2021-10-12
2358,molliekh,CPP9_MonitoringSystem,2021-7-1
2359,molliekh,A1_Maze,2022-9-24
2360,molliekh,A2_SimpleNavigator_v1.0,2021-1-14
2361,molliekh,A3_Parallels,2022-2-3
2362,molliekh,A4_Crypto,2021-2-1
2363,molliekh,A5_Transactions,2022-4-23
2364,molliekh,A6_s21_memory,2022-12-8
2365,molliekh,A7_AlgorithmicTrading,2021-5-11
2366,molliekh,A8_DNA_Analyzer,2022-9-10
2367,molliekh,SQL2_Info21_v1.0,2021-7-19
2368,molliekh,SQL3_RetailAnalitycs_v1.0,2022-7-19
2369,bromanyt,C2_SimpleBashUtils,2021-4-2
2370,bromanyt,C3_s21_string+,2021-9-3
2371,bromanyt,C4_s21_math,2022-11-3
2372,bromanyt,C5_s21_decimal,2022-3-27
2373,bromanyt,C6_SmartCalc_v1.0,2022-9-19
2374,bromanyt,C7_s21_matrix,2022-9-8
2375,bromanyt,C8_3DVieweer_v1.0,2021-7-17
2376,bromanyt,DO1_Linux,2022-1-28
2377,bromanyt,DO2_LinuxNetwork,2021-11-2
2378,bromanyt,DO3_LinuxMonitoring_v1.0,2021-11-14
2379,bromanyt,DO5_SimpleDocker,2022-2-20
2380,bromanyt,DO4_LinuxMonitoring_v2.0,2022-9-26
2381,bromanyt,DO6_CICD,2021-8-3
2382,bromanyt,CPP1_s21_matrix+,2021-12-24
2383,bromanyt,CPP3_SmartCalc_v2.0,2021-2-25
2384,bromanyt,CPP2_s21_containers,2022-2-7
2385,bromanyt,CPP4_3DVieweer_v2.0,2021-8-23
2386,bromanyt,CPP7_MLP,2021-11-22
2387,bromanyt,CPP5_3DVieweer_v2.1,2021-6-3
2388,bromanyt,CPP6__3DVieweer_v2.2,2022-8-15
2389,bromanyt,CPP8_PhotoLab_v1.0,2022-1-20
2390,bromanyt,CPP9_MonitoringSystem,2022-6-2
2391,bromanyt,A1_Maze,2022-7-12
2392,bromanyt,A2_SimpleNavigator_v1.0,2021-12-23
2393,bromanyt,A3_Parallels,2021-11-15
2394,bromanyt,A4_Crypto,2022-2-21
2395,bromanyt,A5_Transactions,2022-6-3
2396,bromanyt,A6_s21_memory,2022-10-19
2397,bromanyt,A7_AlgorithmicTrading,2022-11-20
2398,bromanyt,A8_DNA_Analyzer,2021-1-19
2399,bromanyt,SQL2_Info21_v1.0,2022-11-15
2400,bromanyt,SQL3_RetailAnalitycs_v1.0,2021-7-15
2401,Andrew,C2_SimpleBashUtils,2021-10-13
2402,Andrew,C3_s21_string+,2021-12-12
2403,Andrew,C4_s21_math,2022-9-9
2404,Andrew,C5_s21_decimal,2022-6-4
2405,Andrew,C6_SmartCalc_v1.0,2021-12-28
2406,Andrew,C7_s21_matrix,2021-8-1
2407,Andrew,C8_3DVieweer_v1.0,2022-10-2
2408,Andrew,DO1_Linux,2021-4-3
2409,Andrew,DO2_LinuxNetwork,2021-6-4
2410,Andrew,DO3_LinuxMonitoring_v1.0,2022-12-25
2411,Andrew,DO5_SimpleDocker,2022-4-7
2412,Andrew,DO4_LinuxMonitoring_v2.0,2022-6-20
2413,Andrew,DO6_CICD,2022-11-13
2414,Andrew,CPP1_s21_matrix+,2021-11-18
2415,Andrew,CPP3_SmartCalc_v2.0,2021-2-28
2416,Andrew,CPP2_s21_containers,2022-6-24
2417,Andrew,CPP4_3DVieweer_v2.0,2021-11-26
2418,Andrew,CPP7_MLP,2021-10-13
2419,Andrew,CPP5_3DVieweer_v2.1,2021-11-19
2420,Andrew,CPP6__3DVieweer_v2.2,2022-1-10
2421,Andrew,CPP8_PhotoLab_v1.0,2022-11-23
2422,Andrew,CPP9_MonitoringSystem,2021-1-10
2423,Andrew,A1_Maze,2022-2-22
2424,Andrew,A2_SimpleNavigator_v1.0,2021-3-10
2425,Andrew,A3_Parallels,2021-1-8
2426,Andrew,A4_Crypto,2022-7-5
2427,Andrew,A5_Transactions,2022-1-26
2428,Andrew,A6_s21_memory,2021-10-15
2429,Andrew,A7_AlgorithmicTrading,2021-5-4
2430,Andrew,A8_DNA_Analyzer,2022-5-16
2431,Andrew,SQL2_Info21_v1.0,2021-11-2
2432,Andrew,SQL3_RetailAnalitycs_v1.0,2022-11-26
2433,gojirift,C2_SimpleBashUtils,2022-7-11
2434,gojirift,C3_s21_string+,2022-7-5
2435,gojirift,C4_s21_math,2022-8-8
2436,gojirift,C5_s21_decimal,2021-12-7
2437,gojirift,C6_SmartCalc_v1.0,2021-8-16
2438,gojirift,C7_s21_matrix,2022-6-19
2439,gojirift,C8_3DVieweer_v1.0,2021-6-15
2440,gojirift,DO1_Linux,2022-2-14
2441,gojirift,DO2_LinuxNetwork,2022-5-21
2442,gojirift,DO3_LinuxMonitoring_v1.0,2021-4-8
2443,gojirift,DO5_SimpleDocker,2021-6-10
2444,gojirift,DO4_LinuxMonitoring_v2.0,2021-8-25
2445,gojirift,DO6_CICD,2021-10-6
2446,gojirift,CPP1_s21_matrix+,2021-4-22
2447,gojirift,CPP3_SmartCalc_v2.0,2021-6-20
2448,gojirift,CPP2_s21_containers,2022-6-1
2449,gojirift,CPP4_3DVieweer_v2.0,2022-7-18
2450,gojirift,CPP7_MLP,2022-12-10
2451,gojirift,CPP5_3DVieweer_v2.1,2021-2-9
2452,gojirift,CPP6__3DVieweer_v2.2,2021-5-24
2453,gojirift,CPP8_PhotoLab_v1.0,2021-7-17
2454,gojirift,CPP9_MonitoringSystem,2022-3-21
2455,gojirift,A1_Maze,2022-3-20
2456,gojirift,A2_SimpleNavigator_v1.0,2022-2-10
2457,gojirift,A3_Parallels,2021-12-25
2458,gojirift,A4_Crypto,2022-2-10
2459,gojirift,A5_Transactions,2021-2-3
2460,gojirift,A6_s21_memory,2022-10-3
2461,gojirift,A7_AlgorithmicTrading,2021-5-4
2462,gojirift,A8_DNA_Analyzer,2022-6-18
2463,gojirift,SQL2_Info21_v1.0,2022-3-24
2464,gojirift,SQL3_RetailAnalitycs_v1.0,2021-6-7
2465,biodiese,C2_SimpleBashUtils,2022-12-7
2466,biodiese,C3_s21_string+,2021-1-20
2467,biodiese,C4_s21_math,2021-12-9
2468,biodiese,C5_s21_decimal,2021-5-12
2469,biodiese,C6_SmartCalc_v1.0,2022-1-19
2470,biodiese,C7_s21_matrix,2021-10-25
2471,biodiese,C8_3DVieweer_v1.0,2022-9-8
2472,biodiese,DO1_Linux,2021-1-26
2473,biodiese,DO2_LinuxNetwork,2022-1-23
2474,biodiese,DO3_LinuxMonitoring_v1.0,2022-11-21
2475,biodiese,DO5_SimpleDocker,2021-11-24
2476,biodiese,DO4_LinuxMonitoring_v2.0,2022-8-2
2477,biodiese,DO6_CICD,2022-4-25
2478,biodiese,CPP1_s21_matrix+,2021-8-8
2479,biodiese,CPP3_SmartCalc_v2.0,2022-11-19
2480,biodiese,CPP2_s21_containers,2022-5-13
2481,biodiese,CPP4_3DVieweer_v2.0,2022-8-24
2482,biodiese,CPP7_MLP,2021-11-21
2483,biodiese,CPP5_3DVieweer_v2.1,2021-5-25
2484,biodiese,CPP6__3DVieweer_v2.2,2022-3-26
2485,biodiese,CPP8_PhotoLab_v1.0,2021-5-18
2486,biodiese,CPP9_MonitoringSystem,2022-3-16
2487,biodiese,A1_Maze,2021-2-1
2488,biodiese,A2_SimpleNavigator_v1.0,2022-5-28
2489,biodiese,A3_Parallels,2021-8-25
2490,biodiese,A4_Crypto,2022-2-1
2491,biodiese,A5_Transactions,2021-10-11
2492,biodiese,A6_s21_memory,2021-2-22
2493,biodiese,A7_AlgorithmicTrading,2021-8-24
2494,biodiese,A8_DNA_Analyzer,2021-5-7
2495,biodiese,SQL2_Info21_v1.0,2021-9-8
2496,biodiese,SQL3_RetailAnalitycs_v1.0,2021-5-5
2497,rosieamb,C2_SimpleBashUtils,2022-11-21
2498,rosieamb,C3_s21_string+,2021-1-23
2499,rosieamb,C4_s21_math,2021-1-5
2500,rosieamb,C5_s21_decimal,2021-11-22
2501,rosieamb,C6_SmartCalc_v1.0,2022-1-26
2502,rosieamb,C7_s21_matrix,2021-7-17
2503,rosieamb,C8_3DVieweer_v1.0,2021-12-10
2504,rosieamb,DO1_Linux,2022-3-6
2505,rosieamb,DO2_LinuxNetwork,2021-12-20
2506,rosieamb,DO3_LinuxMonitoring_v1.0,2021-10-21
2507,rosieamb,DO5_SimpleDocker,2021-11-27
2508,rosieamb,DO4_LinuxMonitoring_v2.0,2021-12-19
2509,rosieamb,DO6_CICD,2022-12-4
2510,rosieamb,CPP1_s21_matrix+,2022-9-27
2511,rosieamb,CPP3_SmartCalc_v2.0,2021-5-21
2512,rosieamb,CPP2_s21_containers,2021-11-17
2513,rosieamb,CPP4_3DVieweer_v2.0,2022-7-9
2514,rosieamb,CPP7_MLP,2022-7-8
2515,rosieamb,CPP5_3DVieweer_v2.1,2021-11-2
2516,rosieamb,CPP6__3DVieweer_v2.2,2022-5-16
2517,rosieamb,CPP8_PhotoLab_v1.0,2021-5-22
2518,rosieamb,CPP9_MonitoringSystem,2022-2-19
2519,rosieamb,A1_Maze,2022-2-12
2520,rosieamb,A2_SimpleNavigator_v1.0,2021-7-13
2521,rosieamb,A3_Parallels,2021-2-3
2522,rosieamb,A4_Crypto,2021-8-11
2523,rosieamb,A5_Transactions,2022-11-21
2524,rosieamb,A6_s21_memory,2022-10-2
2525,rosieamb,A7_AlgorithmicTrading,2022-1-17
2526,rosieamb,A8_DNA_Analyzer,2021-1-28
2527,rosieamb,SQL2_Info21_v1.0,2022-1-10
2528,rosieamb,SQL3_RetailAnalitycs_v1.0,2022-2-28
2529,bullroag,C2_SimpleBashUtils,2021-11-10
2530,bullroag,C3_s21_string+,2021-8-18
2531,bullroag,C4_s21_math,2021-10-4
2532,bullroag,C5_s21_decimal,2021-5-22
2533,bullroag,C6_SmartCalc_v1.0,2022-12-26
2534,bullroag,C7_s21_matrix,2021-5-19
2535,bullroag,C8_3DVieweer_v1.0,2021-5-12
2536,bullroag,DO1_Linux,2022-9-11
2537,bullroag,DO2_LinuxNetwork,2021-6-15
2538,bullroag,DO3_LinuxMonitoring_v1.0,2022-9-19
2539,bullroag,DO5_SimpleDocker,2021-3-4
2540,bullroag,DO4_LinuxMonitoring_v2.0,2021-5-15
2541,bullroag,DO6_CICD,2022-8-6
2542,bullroag,CPP1_s21_matrix+,2022-1-6
2543,bullroag,CPP3_SmartCalc_v2.0,2021-9-9
2544,bullroag,CPP2_s21_containers,2021-12-12
2545,bullroag,CPP4_3DVieweer_v2.0,2022-7-13
2546,bullroag,CPP7_MLP,2021-7-6
